Trump,Warren
0.0,0
0.10833333333333332,0
0.10833333333333332,0.0
0.10833333333333332,0.0
0.10833333333333332,0.175
0.10833333333333332,0.175
-0.19166666666666665,0.175
-0.024999999999999994,0.175
-0.024999999999999994,0.175
-0.024999999999999994,0.175
-0.024999999999999994,0.175
-0.024999999999999994,0.175
-0.024999999999999994,-0.425
-0.3194444444444444,-0.425
-0.3194444444444444,-0.55
-0.3194444444444444,-0.55
-0.3194444444444444,-0.55
-0.3194444444444444,-0.6458333333333334
0.28055555555555556,-0.6458333333333334
0.28055555555555556,-0.6458333333333334
0.28055555555555556,-0.6458333333333334
0.6805555555555556,-0.6458333333333334
0.6527777777777778,-0.6458333333333334
0.5388888888888889,-0.6458333333333334
0.5388888888888889,-0.8958333333333334
0.8888888888888888,-0.8958333333333334
0.8888888888888888,-0.8958333333333334
0.8888888888888888,-0.8958333333333334
0.8888888888888888,-0.8958333333333334
0.38888888888888884,-0.8958333333333334
0.12222222222222218,-0.8958333333333334
0.3365079365079364,-0.8958333333333334
0.5865079365079364,-0.8958333333333334
0.48650793650793644,-0.8958333333333334
0.48650793650793644,-0.8958333333333334
0.6976190476190476,-0.8958333333333334
0.6976190476190476,-0.8958333333333334
0.6976190476190476,-0.8392676767676768
0.6892857142857143,-0.8392676767676768
0.6892857142857143,-0.7592676767676768
0.6892857142857143,-0.7410858585858586
0.6892857142857143,-0.7410858585858586
0.6892857142857143,-0.9410858585858586
0.6892857142857143,-0.9410858585858586
0.6892857142857143,-0.9410858585858586
0.20595238095238094,-0.9410858585858586
0.20595238095238094,-0.9410858585858586
0.20595238095238094,-0.9410858585858586
0.20595238095238094,-0.9410858585858586
0.20595238095238094,-0.9410858585858586
0.40595238095238095,-0.9410858585858586
0.40595238095238095,-0.9410858585858586
0.40595238095238095,-0.9410858585858586
0.40595238095238095,-0.9410858585858586
0.40595238095238095,-0.9410858585858586
0.7359523809523809,-0.9410858585858586
0.7359523809523809,-0.9410858585858586
0.7359523809523809,-0.5910858585858586
0.7359523809523809,-0.5910858585858586
0.5041341991341991,-0.5910858585858586
0.5041341991341991,-0.5910858585858586
0.9374675324675323,-0.5910858585858586
1.4374675324675323,-0.5910858585858586
1.9374675324675323,-0.5910858585858586
1.9374675324675323,-0.8299747474747475
2.2374675324675324,-0.8299747474747475
2.2374675324675324,-0.8299747474747475
2.2374675324675324,-0.32997474747474753
2.2374675324675324,-0.32997474747474753
2.2374675324675324,-0.5799747474747475
2.081911976911977,-0.5799747474747475
2.081911976911977,-1.1799747474747475
2.081911976911977,-1.1466414141414143
2.081911976911977,-0.8966414141414143
2.331911976911977,-0.8966414141414143
2.331911976911977,-0.7966414141414143
2.331911976911977,-0.7966414141414143
2.331911976911977,-1.1966414141414143
2.331911976911977,-1.1966414141414143
2.331911976911977,-1.5716414141414143
2.331911976911977,-1.4116414141414144
2.331911976911977,-1.4116414141414144
2.1652453102453104,-1.4116414141414144
2.3652453102453106,-1.4116414141414144
2.3152453102453108,-1.4116414141414144
2.3152453102453108,-1.4116414141414144
2.515245310245311,-1.4116414141414144
2.702745310245311,-1.4116414141414144
2.702745310245311,-1.178308080808081
2.702745310245311,-1.178308080808081
2.670927128427129,-1.178308080808081
2.670927128427129,-1.378308080808081
2.670927128427129,-1.4741414141414144
2.670927128427129,-1.2241414141414144
1.9709271284271295,-1.2241414141414144
1.9709271284271295,-1.1408080808080812
2.1209271284271294,-1.1408080808080812
2.1209271284271294,-1.1408080808080812
2.1209271284271294,-1.1408080808080812
2.1209271284271294,-1.1408080808080812
2.1209271284271294,-1.1408080808080812
2.1209271284271294,-1.1408080808080812
2.1209271284271294,-1.1408080808080812
2.1209271284271294,-1.0044444444444447
2.1209271284271294,-1.0044444444444447
2.1209271284271294,-1.1600000000000004
1.3709271284271294,-1.1600000000000004
1.3709271284271294,-1.4100000000000004
1.5709271284271293,-1.4100000000000004
1.5709271284271293,-1.4100000000000004
1.5709271284271293,-1.4100000000000004
1.5709271284271293,-1.4100000000000004
1.4042604617604626,-1.4100000000000004
1.4042604617604626,-1.4100000000000004
1.4042604617604626,-1.4100000000000004
1.4042604617604626,-1.5600000000000003
1.248704906204907,-1.5600000000000003
1.248704906204907,-1.6850000000000003
1.8487049062049068,-1.6850000000000003
1.8487049062049068,-1.1850000000000003
1.8487049062049068,-1.001666666666667
2.098704906204907,-1.001666666666667
2.048704906204907,-1.001666666666667
2.048704906204907,-1.001666666666667
2.048704906204907,-1.001666666666667
2.048704906204907,-0.651666666666667
2.048704906204907,-0.651666666666667
2.048704906204907,-0.2516666666666669
2.4941594516594523,-0.2516666666666669
2.7191594516594524,-0.2516666666666669
2.7191594516594524,-0.2516666666666669
